"sample_id","idx1","idx2","idx3","idx4","idx5","idx6","idx7","idx8","idx9","idx10","cutree.clusters..h...2.4."
"APO-posterior-3_0",1,0.474237827321961,0.417308568297334,0.332358695468,0.175426952416407,0.0762872318217344,0.00612465636941545,0.0379442521836818,0.0187400916523697,0,1
"APO-posterior-3_1",1,0.625161464154317,0.608825111268101,0.480837155712972,0.41414407960747,0.384635144034813,0.164663949982782,0.0758232274349119,0,0.176967585878104,1
"APO-posterior-3_2",1,0.468843303046099,0.471347466761562,0.582154019364696,0.359944326292673,0.213733973581396,0.0652550012471164,0,0.0672939147201404,0.161041380220835,1
"APO-posterior-3_3",1,0.430215391275502,0.340398418199486,0.312167671415809,0.35036183929483,0.197782732817259,0.0800376975071339,0.0327987785065608,0,0.0929040274490856,1
"APO-posterior-3_4",1,0.507446068926831,0.422542072258343,0.381593470149763,0.443186083597701,0.327451934690566,0.177843546046891,0.117322908979174,0,0.000830917596572142,1
"APO-medial-3_0",1,0.893445284947594,0.300415709010107,0.148701791129128,0.107909114456152,0.0907901451876131,0.0666082533633466,0.037976883516186,0,0.0241555310062519,1
"APO-medial-3_1",0.920005231572883,1,0.258410978947412,0.11711905770685,0.0844964006858449,0.0592858344603029,0.0383079270576912,0.0116088628381485,0,0.0499772492390668,1
"APO-medial-3_2",1,0.924750057796561,0.915186212984259,0.400205345879475,0.176993905814908,0.121731064002476,0.0882561908598649,0.0465198333293162,0,0.0278363252276753,1
"APO-medial-3_3",0.578316181964001,0.811635259236275,1,0.765784394678566,0.115418006629436,0.0704009378481231,0.0377574379415897,0.0137838334797717,0,0.00372282594114874,1
"APO-medial-3_4",0.886811232613856,1,0.985469261442563,0.64230771001424,0.210521616442293,0.12314023547857,0.0825462011822793,0.0550516385990239,0.00561744573830038,0,1
"GAOX1-posterior-2_0",0.32228770635889,0.313850988416259,0.338966301858344,0.419590409938861,0.619889234451811,1,0.750795592558294,0.278363661215477,0.0547030597225906,0,2
"GAOX1-posterior-2_1",0.464750873712928,0.535490218210002,0.656648700187904,0.77645755582606,1,0.848415587183096,0.502096035564361,0.273221006748682,0.111686617520901,0,2
"GAOX1-posterior-2_2",0.523144559110098,0.612337933393405,0.765463632098705,0.867042977572785,1,0.915944877951482,0.826454959071786,0.359202447800402,0.100862832557705,0,2
"GAOX1-posterior-2_3",0.408040883287498,0.413938257938259,0.294514192974558,0.242107340016441,0.259204203288747,0.292953033673404,1,0.744325464723401,0.0970317971346859,0,2
"GAOX1-posterior-2_4",0.42395880933582,0.423504110022563,0.681918968122264,0.870418362303863,0.967574802463157,0.930556545689554,0.926991511042586,1,0.247562646241573,0,2
"GAOX1-posterior-1_0",0.338129845445652,0,0.275494870203615,0.374306846043836,0.271017671920941,0.290581996830021,0.348060092652411,0.417297605386193,0.490019565947249,1,1
"GAOX1-posterior-1_1",0.307172974731483,0,0.114287711856722,0.301318962201021,0.262098626074397,0.312018642148873,0.377248738199629,0.418961518470834,0.461677018648747,1,1
"GAOX1-posterior-1_2",0.523059515433732,0,0.12890852861619,0.290277063054277,0.244159936091686,0.247451713916969,0.243834356075204,0.265793196464723,0.309735456041505,1,1
"GAOX1-posterior-1_3",0.0309345624445397,0,0.152767861359189,0.0821793088963026,0.343626634564489,0.494056257281667,0.229289231838388,0.116908408003085,0.297904642152575,1,1
"GAOX1-posterior-1_4",0.461910169684541,0.398218261497416,0.737581426693186,0.893434041241687,1,0.361534358911806,0.0569576284188733,0,0.0784237488473126,0.24397084315282,2
"GAOX1-HK-medial_0",0.930891539019509,1,0.750441090672861,0.11917641081597,0.00655586781341543,0.0213615935300016,0.0276673231318172,0.0230339919163148,0,0.0574270084289075,1
"GAOX1-HK-medial_1",1,0.830381271114212,0.192735623622298,0.0493688194404402,0.0759953042986746,0.0552442426613331,0.050973178836547,0.00566201822756566,0,0.090886308498634,1
"GAOX1-HK-medial_2",1,0.210011886712104,0.0128863435716408,0,0.00803375054913841,0.0324554564527565,0.0492124197386215,0.0367751764290311,0.0207916349687256,0.0898570777724061,1
"GAOX1-HK-medial_3",0.565228686440831,1,0.63733595377668,0.117072972126431,0,0.0153758126651494,0.0499067297349329,0.0480753992103175,0.031177206279805,0.0395360417561418,1
"GAOX1-HK-medial_4",0.673900077392098,0.62763041094394,0.755084699163084,1,0.281270762754124,0,0.0322644911382228,0.0809677142152026,0.0559555248060422,0.158110998415492,1
"PFAk-GAOX1-anterior-2_0",1,0.857411529471491,0.620527641057644,0.236084821289938,0.133427112291732,0.133579025991259,0.0930950592755364,0.0465251217925279,0,0.00626454405704822,1
"PFAk-GAOX1-anterior-2_1",0.951351646825056,1,0.420421467323243,0.247206288729675,0.205062677197471,0.143784405009281,0.106505453904583,0.0867519503236251,0.0342674435453581,0,1
