sample_id,idx1,idx2,idx3,idx4,idx5,idx6,idx7,idx8,idx9,idx10,idx11,idx12,idx13,idx14,idx15,idx16,idx17,idx18,idx19,idx20,idx21,idx22,idx23,idx24,idx25
APO-anterior-2_0,1.0,0.6318694209508304,0.3212449478706575,0.22433953148900673,0.19751088571303965,0.16689344915219864,0.1475520612193953,0.12625678293618137,0.10558288575684277,0.08576789296876552,0.07402544808294687,0.06254791915498682,0.05312736352158365,0.04537235433888084,0.03904068273112194,0.032670445126776845,0.025531410599829683,0.018166746971359435,0.013691649647858862,0.008079396069876637,0.004832283329266425,0.0026012224052596334,0.0,0.003020041919588536,0.03499341566881623
APO-anterior-2_1,1.0,0.6195630208118904,0.5089627943478944,0.4745814372190891,0.44871347074497225,0.4004718909233078,0.34175885838077313,0.2823798469864346,0.24888939452543943,0.2036365293542449,0.17747128265056672,0.1471941898497857,0.11550782402121017,0.08867463282189307,0.06334946485257037,0.05190412921341601,0.042985020310921086,0.034075037611947016,0.0186523553894105,0.00825530295629137,0.006238111114330554,0.00791923803323222,0.0,0.0004597199663691072,0.031379999510673676
APO-anterior-2_2,1.0,0.800395230736509,0.5993381729633261,0.4182906964529861,0.29961499761057797,0.24292854032255212,0.1984384868471455,0.1561608898361641,0.13188517259183594,0.11815254109540087,0.10426202856985287,0.08020384573033297,0.06770040387095301,0.051070740372567584,0.036417702088131255,0.026201837505415895,0.015433389320804989,0.0102931074517975,0.007287897707677009,0.006250070441034347,0.007362499794910238,0.004750106350823104,0.0,0.009259901553390524,0.0740613871496439
APO-anterior-2_3,0.9795220161411091,1.0,0.6407783572047747,0.289739326637988,0.2181052882639994,0.18044216350951417,0.15022979740889414,0.1291867651171683,0.10454048443786348,0.08486994678670402,0.07198320430165611,0.05918388185740851,0.05313852891829342,0.0412432325430289,0.03761221543660732,0.035360378032695705,0.03681617882978953,0.02405336710846446,0.015924331785095027,0.013588673989121822,0.007379279914622462,0.0027079643226760935,0.0,0.004476420324514874,0.021927517410412246
APO-anterior-2_4,1.0,0.953040254430086,0.876712106298199,0.48632209809798355,0.281043078074689,0.2165544240276186,0.1661748426362079,0.14006259622549383,0.11032914866037295,0.09957578990455619,0.09623920008660951,0.08671090751816442,0.07719330193666134,0.0667813642899974,0.054311900420466096,0.048840163106072025,0.05342544297726243,0.04725117688966959,0.050745821619761135,0.038794957853423795,0.0288065623734681,0.027411980886638775,0.01386436174562853,0.010176402077395537,0.0
APO-posterior-_0,1.0,0.33822217952499206,0.1336356834270796,0.16489085734341133,0.19187884658322843,0.15225811501535608,0.1208724246446328,0.08245447644986575,0.05939839309055162,0.06664869936235111,0.20648105876198264,0.327627201240261,0.3507507972565455,0.21939725806030785,0.28591231482564733,0.1424524276240873,0.1777909449836172,0.10330711020698799,0.07910030577281922,0.0698799885871747,0.049736688614191775,0.0138367881818343,0.0,0.03026166174439486,0.13777535755556813
APO-posterior-_1,1.0,0.6150359016121495,0.5612775226996565,0.4097919004046364,0.11916815736117697,0.07032662791229151,0.08179456364900221,0.062035851192742984,0.04169567091709953,0.04694621142835618,0.04517195889605748,0.0360103059819754,0.030988150163033367,0.03455516361735631,0.039081422235724174,0.036748088689650654,0.04431865830768223,0.0550120400266265,0.0598280506772475,0.0475818788823741,0.025486690872236567,0.00949480392913968,0.0,0.0141901909363777,0.10436051279727511
APO-posterior-_2,1.0,0.324046050576602,0.19636105544883453,0.19340744988205974,0.15911093992394013,0.1285098749028331,0.1309982073733414,0.13794979998898682,0.12695250000690536,0.11087157575133204,0.09645181220550554,0.07039816434277922,0.04422850674252239,0.028766301087112305,0.03983083264960668,0.07047797246008763,0.10444331986958244,0.1497257874190319,0.15886011441239975,0.12909333218459795,0.11357106475018268,0.06236880953028808,0.0,0.03679236484321967,0.29517237877496655
APO-posterior-_3,1.0,0.3765252584829959,0.27669397489979836,0.22078740514728393,0.1704428058358846,0.19632771117135303,0.27544409992647906,0.39625730439382434,0.25046268636709085,0.16269851401278415,0.1451639267348806,0.14328377292886219,0.1401482584427811,0.12527275408257219,0.10640481009864997,0.07858765736605652,0.07109649172555378,0.06436408594411382,0.05968795402730273,0.04967105351348175,0.03169006169357788,0.011862407750932395,0.0,0.01682841596093191,0.22198229931542096
APO-posterior-_4,1.0,0.43280632682648634,0.22085557822989016,0.2159249410810847,0.22604181697002174,0.16187860298614107,0.1171943602745656,0.10652093253354768,0.12961817794543037,0.14988800252853182,0.13424752128295508,0.13937982259050835,0.1339397000116807,0.11127086210568982,0.10683321996165977,0.09975539202550514,0.07804986979435066,0.06915508240720036,0.06311778973333608,0.06057826424532256,0.05124891186977633,0.038516876523184085,0.019126356297836093,0.0,0.1082391344218071
APO-medial-1_0,0.8423711652880281,0.974096707432825,0.8345557467183776,1.0,0.7702473096784237,0.36163643136753976,0.20874856754266377,0.15468982200932074,0.1225791666672754,0.10861919051223272,0.09160741948867603,0.08219488240350702,0.07404478751611439,0.07106043214593401,0.07256931213668626,0.07094194031708627,0.06661950966688612,0.05057079989055977,0.034439523999451147,0.03222914717089305,0.017213459242871976,0.006571884571250654,0.0045354638318519025,0.0,0.03687932117748048
APO-medial-1_1,1.0,0.9441056653800515,0.7748418681047484,0.6956415126900153,0.6791481279595207,0.38517852289154797,0.21087819539298858,0.1498669236738708,0.1220569745594765,0.10137345739795045,0.09353004797923908,0.08509968921137147,0.07675810872670383,0.0656060710927347,0.0528925863299842,0.048309588898292545,0.04255622027041556,0.03474322500880045,0.017591864083089073,0.014826327732406856,0.009272731339230513,0.0,0.013066682242481397,0.027733263918630232,0.07051880980281171
APO-medial-1_2,1.0,0.8384638973407247,0.851183937667034,0.8313250949035594,0.8151839347158165,0.8194550102191109,0.8428427219993698,0.8427546311228216,0.5450366735589647,0.28797079863203523,0.21327478606036304,0.18405086801971834,0.16169545355855677,0.14608919662254516,0.12258943265311109,0.10604195515417761,0.10095276843999892,0.09360304802157522,0.07608832378506301,0.05926641275267901,0.041531624731142684,0.02390851752071828,0.008698981486749049,0.0,0.06191644776942136
