RFP,RFP,RFP,RFP,RFP
100.924,132.1835,155.799,92.153,152.635
100.009,134.5186,155.117,93.599,140.845
100.585,131.2255,159.215,93.943,128.117
101.929,119.0214,159.876,92.187,126.845
105.436,106.9095,164.059,97.611,134.115
113.828,97.5776,164.849,107.124,144.729
128.435,94.4015,166.861,118.267,156.187
146.219,92.3296,170.73,131.431,165.737
162.685,92.5841,177.598,146.699,177.477
175.211,94.3371,185.021,168.166,192.246
184.973,96.7499,193.786,191.288,210.457
197.958,98.6839,205.523,214.146,232.577
204.598,103.4826,216.004,233.674,254.893
212.838,111.8242,233.581,250.103,280.769
216.89,120.9757,249.788,260.249,303.878
223.358,128.2458,267.09,269.347,330.322
232.536,134.521,283.559,277.571,353.577
237.316,139.7958,301.106,284.515,373.896
243.738,141.1724,317.736,289.4,389.248
250.82,142.9851,331.564,292.952,399.689
258.173,139.4228,344.933,296.746,405.698
265.946,134.9043,355.934,296.314,410.546
268.737,128.0304,363.369,300.625,417.29
272.696,123.1913,366.913,303.171,421.529
274.38,118.3332,372.959,299.371,430.988
274.273,117.4714,379.957,297.586,434.244
276.171,120.4234,384.095,297.308,435.018
274.235,126.8703,383.694,293.214,437.828
275.192,133.6056,387.271,290.631,440.667
273.472,137.0706,384.719,287.008,438.005
273.291,137.6319,382.102,281.922,434.626
270.958,,382.149,275.47,436.375
267.473,,382.472,267.851,435.858
265.628,,374.114,261.336,433.84
264.504,,374.159,250.517,427.355
262.279,,368.582,239.183,423.455
257.132,,362.111,226.541,416.664
248.628,,354.34,212.169,409.316
240.78,,344.565,192.943,398.014
232.34,,334.943,174.434,384.333
219.884,,325.166,148.787,367.721
206.001,,313.62,119.35,352.116
191.257,,303.17,95.234,324.984
175.755,,292.776,83.982,286.092
161.574,,286.413,83.669,242.767
149.494,,278.62,89.432,209.792
140.219,,264.13,95.536,182.023
135.895,,253.503,109.376,160.366
131.8,,242.849,,141.356
131.155,,227.174,,126.22
129.745,,216.167,,116.453
,,203.319,,
,,190.685,,
,,181.676,,
,,176.951,,
,,169.666,,
,,164.988,,
,,157.95,,
,,151.499,,
,,150.636,,
,,145.863,,
,,137.818,,
