RFP,RFP,RFP,RFP,RFP
101.834,80.369,107.106,134.202,395.248
101.234,80.595,100.966,132.684,383.622
98.36,81.256,92.576,132.54,374.276
97.293,83.815,85.849,138.785,365.386
99.353,91.087,80.746,145.44,354.294
97.534,98.845,81.288,153.78,349.005
90.125,105.957,86.425,161.339,351.442
90.472,114.416,93.249,173.047,350.714
100.685,123.263,97.514,186.294,350.368
115.464,132.336,102.472,202.64,351.758
132.649,141.056,106.716,218.465,347.06
147.059,152.381,108.952,233.216,344.079
160.646,161.828,109.824,246.116,339.982
172.678,170.667,113.394,264.036,338.626
186.461,176.393,114.072,287.294,334.752
197.087,184.357,114.714,311.886,336.557
203.955,192.414,115.828,330.275,336.17
212.439,201.129,112.987,343.841,335.199
220.387,209.601,114.497,349.665,336.266
225.447,217.887,117.581,352.171,330.785
227.814,224.9,119.211,351.279,323.818
229.898,232.235,120.741,347.867,315.205
233.537,235.237,124.3,342.725,306.519
232.643,238.129,129.362,335.283,294.814
232,241.526,133.989,327.587,287.258
231.003,241.82,140.758,315.385,279.76
231.038,245.084,148.877,300.772,278.797
228.993,243.553,157.816,287.652,280.099
227.125,241.385,164.048,271.932,283.312
226.761,236.805,174.313,255.239,290.589
225.678,229.631,185.814,234.754,298.129
222.67,223.925,193.481,213.494,301.662
222.028,212.238,204.566,192.708,308.341
218.274,198.958,216.317,172.593,309.897
211.717,178.149,228.655,147.058,307.305
204.987,158.083,238.787,122.816,304.104
200.732,137.496,249.094,114.894,295.759
191.494,116.905,253.993,115.867,283.468
181.681,105.361,263.072,113.378,273.39
171.057,102.004,271.325,109.01,270.935
156.877,99.251,281.421,-54.105,290.398
135.488,-54.105,287.776,-54.105,324.638
113.327,-54.105,284.492,-54.105,362.716
96.633,-54.105,276.903,-54.105,376.313
87.691,-54.105,264.489,-54.105,364.456
84.401,-54.105,249.013,-54.105,346.187
84.653,-54.105,232.912,-54.105,-54.105
86.591,-54.105,214.348,-54.105,-54.105
90.14,-54.105,197.366,-54.105,-54.105
93.483,-54.105,183.178,-54.105,-54.105
-54.105,-54.105,169.339,-54.105,-54.105
-54.105,-54.105,159.434,-54.105,-54.105
-54.105,-54.105,154.396,-54.105,-54.105
-54.105,-54.105,151.347,-54.105,-54.105
-54.105,-54.105,-54.105,-54.105,-54.105
-54.105,-54.105,-54.105,-54.105,-54.105
-54.105,-54.105,-54.105,-54.105,-54.105
-54.105,-54.105,-54.105,-54.105,-54.105
-54.105,-54.105,-54.105,-54.105,-54.105
-54.105,-54.105,-54.105,-54.105,-54.105
-54.105,-54.105,-54.105,-54.105,-54.105
-54.105,-54.105,-54.105,-54.105,-54.105
-54.105,-54.105,-54.105,-54.105,-54.105
-54.105,-54.105,-54.105,-54.105,-54.105
-54.105,-54.105,-54.105,-54.105,-54.105
-54.105,-54.105,-54.105,-54.105,-54.105
