actin,actin,actin,actin,actin
328.414,340.045,252.331,311.452,397.587
329.194,354.676,257.746,318.609,370.115
329.165,366.869,271.572,318.732,362.657
331.429,373.855,277.905,329.043,398.131
337.61,385.852,265.859,345.666,455.443
349.175,387.713,252.55,364.834,488.755
360.896,395.601,239.692,384.664,483.534
367.099,398.87,230.398,404.238,455.872
369.988,403.542,221.626,407.549,430.695
366.936,407.797,212.996,392.933,406.308
360.937,409.467,209.744,372.487,384.966
355.546,410.649,214.766,356.071,375.498
348.528,400.984,232.67,344.615,377.51
342.261,385.673,246.416,329.866,376.98
347.704,367.128,233.997,320.479,377.385
355.186,346.256,207.857,311.59,381.205
356.818,326.506,197.349,305.942,387.392
350.971,310.814,194.387,296.148,399.802
341.789,299.915,190.336,293.309,409.406
339.334,291.984,189.368,289.911,419.694
341.426,286.04,195.66,290.538,421.664
344.632,276.677,206.727,287.893,430.028
351.208,277.739,211.763,292.229,438.225
357.317,284.025,214.708,305.042,443.742
362.314,290.394,220.528,326.011,460.612
361.378,296.134,218.624,352.915,483.886
359.027,290.172,215.247,385.442,508.137
352.968,273.347,216.903,416.48,536.543
352.507,261.831,226.506,429.839,550.643
351.53,253.345,244.534,430.927,544.196
358.81,257.387,263.955,434.534,524.166
369.347,258.026,277.309,439.38,497.858
392.29,262.317,290.043,444.334,468.03
428.55,269.236,301.323,450.529,436.079
463.6,277.474,323.882,458.778,419.447
491.328,289.295,355.836,445.986,417.435
504.17,297.342,373.796,415.483,434.118
507.088,315.915,359.984,378.147,446.793
498.837,335.179,329.597,338.509,433.188
483.909,345.249,289.999,305.262,415.174
467.138,360.427,258.781,281.692,397.751
448.438,385.103,251.283,265.949,
430.273,414.81,255.321,257.12,
412.86,462.307,272.06,250.331,
400.694,525.007,299.772,247.183,
403.226,572.661,307.676,247.029,
409.266,595.985,297.479,251.565,
414.296,592.256,,258.8,
416.79,571.239,,270.583,
405.592,533.162,,284.622,
387.14,477.831,,309.767,
370.573,419.115,,337.034,
352.794,361.998,,362.289,
326.953,321.546,,381.139,
304.58,298,,399.55,
,289.084,,393.578,
,281.44,,372.959,
,294.358,,380.794,
,310.179,,,
,331.823,,,
,336.386,,,
,320.132,,,
,312.555,,,
,312.878,,,
,308.107,,,
