actin,actin,actin,actin,actin
249.514,306.121,400.689,485.738,327.349
244.111,330.804,404.894,506.747,351.911
241.639,343.005,408.854,486.035,371.125
229.968,342.074,416.105,433.694,363.473
223.686,333.154,425.897,363.996,351.509
223.281,322.619,429.267,320.609,343.303
226.283,315.304,437.068,305.759,346.559
232.843,308.587,437.109,300.546,351.562
238.187,303.498,427.609,295.001,356.332
245.137,303.227,417.738,303.515,356.19
255.966,303.295,407.955,323.424,336.805
273.557,308.409,403.989,348.087,315.7
301.047,306.017,393.648,371.044,300.478
343.648,302.478,380.597,387.865,286.821
380.759,302.269,366.705,398.421,281.366
399.285,299.102,355.462,410.623,278.39
399.661,296.026,347.445,418.897,280.963
404.549,295.815,337.949,412.183,284.589
422.862,296.703,331.143,398.202,301.472
455.436,300.523,332.309,384.399,334.686
496.949,309.353,335.547,370.338,373.09
534.364,319.854,355.234,359.276,405.122
564.674,331.256,388.898,348.48,429.648
574.058,344.771,434.641,336.02,455.671
560.268,347.217,477.924,326.04,487.894
523.53,355.983,482.726,312.56,513.671
471.634,358.342,447.85,308.05,532.622
423.173,363.262,-63.08,312.497,559.446
381.318,368.971,-63.08,327.723,586.574
341.35,381.029,-63.08,355.421,600.269
305.683,391.458,-63.08,366.042,588.079
283.505,404.088,-63.08,-63.08,566.025
267.507,409.181,-63.08,-63.08,537.187
263.752,412.195,-63.08,-63.08,498.447
271.048,410.525,-63.08,-63.08,467.863
280.748,409.851,-63.08,-63.08,436.642
295.694,410.372,-63.08,-63.08,391.24
-63.08,411.257,-63.08,-63.08,353.406
-63.08,413.574,-63.08,-63.08,333.816
-63.08,416.959,-63.08,-63.08,318.974
-63.08,417.409,-63.08,-63.08,312.994
-63.08,424.05,-63.08,-63.08,321.444
-63.08,-63.08,-63.08,-63.08,344.426
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
-63.08,-63.08,-63.08,-63.08,-63.08
