"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","actin.data.sample_id"
"11",-1.42272353318753,1.68289709777771,0.248432296111869,-0.450993391333144,0.587888364437335,0.442381384600726,-0.559875253043712,0.324713596616938,-0.0538048336672699,-0.0421504222370595,-0.23162830424366,0.230553366309297,-0.283787829646253,0.18687338436348,-0.181262334441356,0.0253459510447857,-0.0433931288347924,-0.17111398045887,-0.0256471445168575,0.0803036312452371,0.0734904400294456,0.021983715250639,-0.0214323721065521,-0.102134859683521,-0.103337392558359,-0.00643750846920633,0.0527466304430699,0.0344314161187948,0.131710792196993,0.0588143022486742,0.0725066449380883,-0.164201696552033,-0.0995678531060976,-0.0277728267252146,-0.00419370290631502,-0.0348074446270809,0.019799316038304,0.00674110261195771,0.000718058482590787,0.00243738214817785,0.00499813846017949,-0.0104225302698836,-0.00477421557000839,7.52869988573934e-16,"L2_D1_GAOX1_merge_anterior_7-14-actin_0"
"12",-0.357996768951819,0.197722152217712,1.66925343327014,0.402156743358872,-0.0294619653853063,-0.640007111822506,-0.0290473829693711,-0.181794174513163,0.33964904650757,-0.0656041473837553,0.00853056160784075,0.0610107334627457,0.116693644192329,0.0496882874251525,0.0302566181915557,0.153600476701126,-0.0744315363698358,-0.14088035383331,0.0570098895849074,-0.143218458198173,0.234206396149806,-0.133937946483789,0.0076392828034016,0.17626847008603,-0.156251168200344,-0.0515643228259535,-0.0301317526729421,0.0700961467806016,-0.0484689415757024,-0.0127631117725058,0.151838966588402,0.0186298672842445,0.0219029741937726,-0.0442985781767227,0.0945429311694117,0.0124815022696286,-0.0185577893239213,0.0387708477361329,0.0136962562814021,-0.0140668444736801,-0.00939253196088157,0.00433313332999756,-0.000325204339473374,-2.25514051876985e-16,"L2_D1_GAOX1_merge_anterior_7-14-actin_1"
"13",-1.50999565247915,1.24772164147872,0.330240658269671,-0.102697999617956,0.827585836517362,0.322082908949536,0.132484834930812,-0.283487357653288,-0.141448429706144,0.151104868624026,0.155144094990173,0.0555934329527431,-0.415896755718734,-0.0323975042461443,-0.0588868123195057,0.118704519213881,0.0229507165092545,-0.11557490656826,-0.081463453844253,0.185033277408717,-0.0672100023233853,-0.080134979758464,0.0956018006419263,0.0981861173529672,-0.0717563850305947,0.0579206580396463,0.0420472056504662,-0.150027959017738,-0.136764049186101,-0.0245221471246549,-0.073864287196721,0.0320342154561848,0.141854855975022,-0.0219121595141111,0.0293521144813439,-0.00207457115880352,-0.0159745848691322,0.0471084475629059,0.0319043077051308,0.00280181923981056,0.0183403216369913,0.0146202561939214,0.00511339515519136,-3.19189119579733e-16,"L2_D1_GAOX1_merge_anterior_7-14-actin_2"
"14",-1.99184237527115,1.46038227435367,-0.0354567217016724,0.987837444365987,0.0631876795744164,0.623663777009136,0.0589936223931834,0.204572860646106,-0.255251928958657,-0.135090776950925,0.1415577936057,0.272476012528151,-0.00582055502291298,-0.0150017142185269,0.0104273434077132,0.0824103058565707,-0.141088873323931,0.032442874267099,-0.177110939035314,-0.0848381982462318,-0.128284320922366,-0.0548632318728667,0.0144853835870875,-0.0321473117143503,0.0626706945472342,0.0423448049087556,-0.0179996341700941,0.0544653613316944,-0.0206514285661476,-0.0694164335674218,0.12052266904562,0.15014572590891,-0.0830356752286291,-0.0314665214039235,0.0389553017682166,0.132103527564302,-0.0445104672315051,-0.0964970336396398,-0.000173027737576513,0.0245141158815003,-0.00453130442203589,-0.00412312582825741,0.00215772387954562,-5.41233724504764e-16,"L2_D1_GAOX1_merge_anterior_7-14-actin_3"
"29",-2.38481608650892,0.777866544532289,-0.220261395615428,-0.878209972888097,-0.176744697878573,0.0775064057023024,0.118242937646792,0.126225321397001,0.148998873663274,0.134747479562761,-0.321313253372784,-0.140799799764508,-0.0132985950449454,-0.177432911079194,0.0148206141518961,-0.0527875540529007,-0.0273230523308815,-0.0285973161486732,0.0168302865723957,-0.0291317872514638,0.00670757647986801,0.149479609384609,-0.100795476083283,0.00258361601589215,-0.0104253944981684,0.000152499699100144,-0.0749697806485891,-0.0883187740821505,-0.0551479110342119,-0.0560411737826044,0.0656379193534871,0.0703939886974491,-0.00588345787613273,0.0252257398899378,0.0325950386365886,-0.00822406267051623,0.053314833209438,0.0427710218883955,0.0106261523801638,0.0454989539076448,0.076794049202073,-0.138047678423983,-0.0565373590014545,-1.35308431126191e-16,"L2_D1_GAOX-1_merge_anterior_7-1-actin_0"
"30",0.982278175817731,1.34089695144711,-1.02453347710327,1.25812552026725,0.662455442620467,-0.45055410966201,0.526902829716091,-0.185013339668433,0.0660840940899076,0.125493278773183,0.0588002219888915,-0.0333632363414789,-0.0821655110482473,0.156784605421692,-0.332386106240997,-0.466494032473211,0.0397580234186056,0.0523257393301707,-0.122842827909122,-0.177884701544253,0.0928168427928446,0.0364601483022961,0.0577870427713013,-0.00224248854185293,0.00497318071461252,0.0495295259196631,-0.0835337150076833,-0.0522926255037526,0.0359281926819436,-0.00419705594937739,0.0319773179528559,-0.0184187228133806,-0.00092180290401668,-0.0242357033964595,-0.00712762713688138,-0.00244155873757207,-0.0111584017064607,-0.0050071136555444,-0.002639909388049,-0.00225191810796548,-0.00238055310750621,-8.95434530194276e-05,-0.000351014241191203,-6.31439345255558e-16,"L2_D1_GAOX-1_merge_anterior_7-1-actin_1"
"31",-0.865804187690718,-1.47636606414848,-0.544884129319018,0.646618532818257,0.784859079295551,0.138741503830965,-0.0692617829756566,-0.00964384373876843,0.0972224504409762,-0.0921531312953086,0.166934046173725,-0.0731062732298162,0.235289680816635,0.198342684041236,-0.309408648834521,0.162140467602558,0.100944214862528,0.060566834794719,0.183842025531122,0.0256537793953893,-0.0915676840705928,0.0938715241423784,-0.23378788786977,0.0359871525519401,0.0146848325799512,0.0054962385543572,0.00376332604386999,0.0552017453441032,-0.210315987177229,0.00104123928696855,0.00421697011176084,-0.0298229782083063,-0.059342372427423,-0.0432669893432311,-0.0514099686584088,-0.0284564960358694,0.00836132889973574,-0.0061317030373185,0.041260514677356,0.0147801556959367,-0.0120516517701557,0.000205752925685447,0.00584028634471587,-1.38777878078145e-16,"L2_D1_GAOX-1_merge_anterior_7-1-actin_2"
"32",-2.38013205636354,0.567485774018683,0.401058607243739,-0.842646728770091,-0.15105618100599,0.109633551863903,-0.136865740457282,0.173578140446928,0.046417172361121,-0.0750205289158167,-0.369160036311464,-0.110397475526074,-0.0332259755489914,0.0549584998598102,-0.0550212959347336,-0.140425307104121,0.0159767060274892,-0.0533306746911244,0.0719121678814769,-0.0489896691391825,-0.00671953325929454,0.169400866114039,-0.051946542246591,-0.0109180263046798,-0.00562525015461682,0.0289296949037786,-0.0259202618186986,-0.000960717876408196,-0.00938041564936432,0.00680777380858645,0.0115313406141643,0.161559401701312,0.0221228972821204,0.0576026721468776,0.0311327550552499,0.00871391740837668,0.0615085177441968,0.046323744099847,-0.00674136047607679,9.12674721074147e-05,0.00295990495224719,0.14506407808691,0.0598555918514081,2.22044604925031e-16,"L2_D1_GAOX-1_merge_anterior_7-1-actin_3"
"33",-2.47301725036614,-0.497289172410852,-0.522133828384168,-0.304539246950457,0.288959088797346,0.105437563168605,0.179319223477839,0.128316050583315,-0.0235282956826649,-0.0449020469268095,0.045206940328165,-0.229445556356096,0.22202671986387,-0.0550592544585592,-0.0834807348673815,0.0776069271972872,0.0148653750699599,-0.0380470034834694,0.0486372946184185,0.09253592813005,0.004168330952391,-0.0317835249913323,0.0426157978564003,-0.0547670501711148,-0.0051733461951526,0.0313898431139662,-0.0450237911305662,0.030281062016802,0.170973573409555,-0.0222965181583683,0.0589465886634157,0.0517849874276414,0.119291274506302,0.0646763082045818,0.0306262663521444,-0.158890367520577,-0.128329398853508,-0.076785572420814,0.100321290767825,0.0146346943435293,-0.0392073293037045,-0.00378528824267619,-0.00565613625092289,-4.44089209850063e-16,"L2_D1_GAOX-1_merge_anterior_7-1-actin_4"
"34",2.85364571708811,-1.19444600381356,0.775090330790316,0.124735427441695,0.290047421436633,0.354803493529163,0.162657084296709,0.618962758061758,-0.131694497994608,0.0771556513708239,0.0579122395543822,-0.149766670572097,-0.132417882010484,-0.0219722284127054,0.0664231339087593,-0.154971912929699,0.0478097849397325,0.179182998645475,0.0933029367915768,0.00464636874929437,-0.0335176324779397,-0.0966275453063761,-0.0464234897128887,0.0314668777660501,-0.240025081747214,-0.109488577118168,-0.00594996699920622,0.0438595500273736,0.0233122247603895,-0.202197889417603,-0.0897107272773294,0.0120088824705203,-0.0593038282797535,0.0388010517887611,0.0397728887970905,0.00276658478340688,-0.0225273870218882,0.0189074618954012,-0.00800545386423124,-0.000748278353572135,-0.00982274556016456,0.00700773335699691,-0.0167027982029973,-1.52655665885959e-16,"L2_D1_GAOX1_merge_anterior_9-21-actin_0"
"35",1.66279831899816,-0.63788189445057,1.8484173413384,0.356586479745747,0.254242702095139,-0.091625434899704,-0.103195795969733,0.210092634862908,0.452410140484059,0.132013653288171,0.0654039122002132,0.0309275523869692,0.113337474320529,-0.0497946766136068,0.00147964514374535,0.102919078572559,-0.0192474238346213,-0.198183496777994,-0.156765455123472,-0.0709995916924836,0.021499744952788,0.141856225440119,0.0835674244585805,0.00684456389371109,0.0926533280453672,0.135308604890739,0.0608287800481268,0.026580755063466,0.0542779141486543,-0.181578949416628,-0.0841698555876561,0.0190400892399568,-0.0021991641298736,-0.0210364046068913,-0.1621418113695,-0.0296453548404964,0.0356423784967793,-0.00179013507475125,0.0106570965754305,0.0103823690189959,-0.00218264832473303,-0.00399527194048829,0.00269738804211528,7.97972798949331e-17,"L2_D1_GAOX1_merge_anterior_9-21-actin_1"
"36",0.367696231848795,-1.98050666101672,0.944577885999852,0.302513905546642,0.0286503777401402,-0.616218003710659,0.0952264769962152,0.0522830169290697,-0.0913853014720529,0.122060283661944,-0.0874342852144674,0.0998073845686945,0.0747613344312475,0.0785302104046973,0.0592185000849245,0.183900120687313,0.115846508882397,-0.0392392100350771,-0.143062155174481,-0.00212047032392291,-0.000625388822010933,-0.105349718350701,-0.115063029556409,-0.247542077910834,-0.0903243411372914,0.0766215495157737,-0.168089108315682,-0.155290263269673,0.0140068411099726,0.104211636267241,-0.100191142311271,0.0648030028311179,-0.083449180731142,-0.0216108113601097,0.0308181514489832,-0.00643179540674738,-0.017429287841826,-0.00426614224870317,-0.0113786659696853,-0.00249727861428714,-0.00388951037529225,0.00246486922134103,0.00409490729043504,-4.74880551548651e-17,"L2_D1_GAOX1_merge_anterior_9-21-actin_2"
"37",1.44625929342811,0.62928097818035,-0.67990211552732,-1.19102864655714,0.169226106979073,0.459109601091899,0.365365052942626,-0.607640109957946,0.0456636105339385,0.435492424638961,0.134055031498998,0.36747923161909,0.132020566668955,0.325783329257668,0.302274268219257,-0.0324578163902349,0.0645929614365784,-0.117501052519493,0.211586811268265,-0.0933674833037088,-0.0514441584644244,0.0102191801523454,-0.0732793875310442,-0.030215149015643,-0.0210317595348928,-0.0168184949435547,0.0320898866513476,-0.0109109507453954,0.0816276266735954,-0.0450358811060627,0.0219800788448707,0.0266271102820421,-0.009081405673364,0.0245402717869651,-0.0190594391837525,0.0052859653541123,0.00405810918781768,-0.00944402495899425,0.00292838670377466,-0.00276202033388422,0.00494318896589853,0.00110418502134406,0.000933634475907386,-1.38777878078145e-16,"L2_D1_GAOX1_merge_anterior_9-21-actin_3"
"38",2.40745706641756,-1.20716494185201,1.29064658783269,0.292340417270444,0.391876286798662,0.262862551088326,0.153530648812959,0.355891315288532,0.312298697075226,0.298765345554495,-0.0481891036052142,0.00391051576063618,0.101662406758927,0.0576850689673716,0.0652331329128596,-0.00705292947113128,0.0286759828802055,0.0246513255817368,-0.0481271641639201,0.0323737675856385,-0.116450858786862,0.132837552664255,0.0699384181242619,0.0843199082217503,0.17157773572744,0.00180153145001737,0.022206918613693,-0.00898730266897924,-0.0173463112146363,0.132770034643502,0.0137730508282254,-0.0940371945879869,-0.00458086834556466,0.0872700513482812,0.201892770506354,0.0304243094923325,-0.0460997262997623,-0.000458109095373721,-0.0115643670168181,-0.00856680540275393,0.00394252716959657,-0.00142004409090696,0.00296563439363837,-6.93889390390723e-17,"L2_D1_GAOX1_merge_anterior_9-21-actin_4"
