"sample_id","idx1","idx2","idx3","idx4","idx5","idx6","idx7","idx8","idx9","idx10","cutree.rfp.clusters..h...1.85."
"L2_D1_GAOX-1_merge_medial_7-12-_0",0,0.125353563625298,0.363711055675712,0.752498336955669,1,0.692197049947728,0.800362595725261,0.899202852479751,0.26618160382138,0.115273132561668,1
"L2_D1_GAOX-1_merge_medial_7-12-_1",0.0641661582136177,0.190702466526588,0.525920697125026,0.898092653678484,1,0.809118145845465,0.370733281571549,0.0672023298697079,0,0.0120625796342185,2
"L2_D1_GAOX-1_merge_medial_7-12-_2",0,0.152772430835826,0.540659093660587,0.835938616001492,0.87555412865208,0.976803032233024,1,0.42796393027935,0.419942144115042,0.516639225608119,1
"L2_D1_GAOX-1_merge_medial_7-12-_3",0,0.427419952689961,1,0.98660232016643,0.594933898173998,0.541699411956958,0.515856205138952,0.431282293093426,0.310098166370667,0.138182683613312,3
"L2_D1_GAOX-1_merge_medial_7-12-_4",0.0507405747890323,0.175642199472567,0.494399582437775,0.935444226831602,1,0.599740295769981,0.217159402568957,0,0.0242193674450943,0.166595425677753,2
"L2_D1_GAOX1_merge_posterior_8-3_0",0.48400810173547,0.546213341596501,0.597860058321004,0.844659277697859,1,0.770247669314574,0.462143676521589,0.226665955268078,0.067481628473455,0,2
"L2_D1_GAOX1_merge_posterior_8-3_1",0.170154570120622,0.217511940731146,0.582988407893809,0.880302820597859,0.985994939062447,1,0.860739346047481,0.557969670934602,0.188497726756378,0,1
"L2_D1_GAOX1_merge_posterior_8-3_2",0,0.148151431115099,0.422693603816642,0.771549541024721,0.965955801940533,1,0.923489651381655,0.690109157551166,0.300587286404184,0.0336800425655279,1
"L2_D1_GAOX1_merge_posterior_8-3_3",0.41251746315236,0.516420808298926,0.788134701967386,1,0.990316468102716,0.650074830969131,0.291138208599494,0.0938999536390255,0,0.0269926662538777,2
"L2_D1_GAOX1_merge_posterior_8-3_4",0,0.142368378155055,0.545829453239324,0.878131634023912,1,0.959517113322478,0.654555776858838,0.400474417611161,0.216420245565451,0.116183598866044,1
"L2_D1_GAOX1_merge_anterior_8-30_0",0,0.326442098413646,0.628889208729193,0.824499849724964,0.980866736410948,1,0.951350727481545,0.796590289713474,0.427865151248552,0.175629236432918,1
"L2_D1_GAOX1_merge_anterior_8-30_1",0.785599378247649,0.1422396122305,0,0.142440971915394,0.592453067982796,0.986795730015776,1,0.654086515130225,0.619393255464598,0.934781915872214,4
"L2_D1_GAOX1_merge_anterior_8-30_2",0.040276516719887,0.197828755232452,0.603528620860676,0.914020595208403,1,0.936749431653666,0.720635917194878,0.461510840865893,0.164634093899702,0,1
"L2_D1_GAOX1_merge_anterior_8-30_3",0,0.196929292299661,0.662262085408684,0.919704616775134,1,0.97031363527457,0.845012437495983,0.560784974491933,0.0873626956933343,0.00294453091063511,1
"L2_D1_GAOX1_merge_anterior_8-30_4",0,0.142108276726938,0.476391675502542,0.82359249007342,0.952198078622926,1,0.980450165326085,0.859630837440596,0.485285677730052,0.0247290943845253,1
"L2_D1_GAOX1_merge_medial_9-21-2_0",0.00906612816156151,0,0.0482350358353836,0.341941205591365,0.89662343865445,1,0.788511220791239,0.354503698802004,0.15254023654753,0.119615052602512,1
"L2_D1_GAOX1_merge_medial_9-21-2_1",0,0.526853642338283,0.872005305845058,1,0.935546687486464,0.88049071688564,0.617206331490606,0.358321438941437,0.130620803127217,0.0500316678905227,2
"L2_D1_GAOX1_merge_medial_9-21-2_2",1,0.887629839471199,0.97221444647236,0.668243588738723,0.277123992729362,0,0.0865235679868025,0.0498829905160733,0.265992229226618,0.502510945145506,3
"L2_D1_GAOX1_merge_medial_9-21-2_3",0.164168914195346,0.0291733387671303,0,0.126316558407231,0.506237653009766,0.971675051246217,1,0.670963723637594,0.269753422234867,0.136593355260755,1
"L2_D1_GAOX1_merge_medial_9-21-2_4",0,0.484958731421654,1,0.767473644360888,0.678803414416091,0.85490870436555,0.996065636182031,0.864330217069086,0.389337863359192,0.0460408258421078,1
"L2_D1_GAOX1_merge_anterior_7-14_0",0.706057638968292,0.721118227341336,1,0.397538018461366,0.0301061975447092,0,0.0831310725058257,0.641602634741661,0.680359737171604,0.360785049958133,3
"L2_D1_GAOX1_merge_anterior_7-14_1",0,0.172266166672143,0.335029892146025,0.323627385038833,0.311819440440515,0.507774981854561,1,0.609413684174161,0.224312937603255,0.107094877356426,1
"L2_D1_GAOX1_merge_anterior_7-14_2",0.00165656671092304,0.0359419493174725,0.34611550044045,0.0794150886705226,0.13398570072589,1,0.873403794019434,0.551843404511032,0.119898969550877,0,1
"L2_D1_GAOX1_merge_anterior_7-14_3",0.00172502102063958,0.187343452357137,1,0.847885551208049,0.115619778245616,0.00969423330481721,0.494663216217397,0.828700495363242,0.424260795812548,0,3
"L2_D1_GAOX-1_merge_anterior_7-1_0",0.488799985492604,0.725611392118381,0.524740207077201,0.262473481975024,0,0.0861892233076155,0.639565985291141,1,0.913063103071213,0.775644040378744,3
"L2_D1_GAOX-1_merge_anterior_7-1_1",0,0.508506586605847,0.830085997659871,1,0.70115897224076,0.710035475388506,0.896709068575916,0.862402001371112,0.838569989666238,0.96068539690495,4
"L2_D1_GAOX-1_merge_anterior_7-1_2",0,0.40947214718596,0.577649507827449,0.65924251946771,0.750687207595949,0.796179543132998,0.925738015108667,0.999450416711476,0.879435318403394,1,4
"L2_D1_GAOX-1_merge_anterior_7-1_3",0.375954108081706,0.348200935851277,0.277122402249212,0.352583629601405,0.0391239985267324,0,0.0833316248875084,0.278683332614608,0.899790815536632,1,3
"L2_D1_GAOX-1_merge_anterior_7-1_4",0.812918186773656,0.943440582788842,1,0.969936948558846,0.938016320262822,0.782430447687243,0.55814962211863,0.160441295349109,0,0.123690276681411,2
