"sample_id","idx1","idx2","idx3","idx4","idx5","idx6","idx7","idx8","idx9","idx10","cutree.actin.clusters..h...1.95."
"L2_D1_GAOX1_merge_anterior_7-14-actin_0",0.690725068531432,1,0.777801579077281,0.232772540887793,0,0.00564616359901733,0.0127317319287426,0.0822279321177271,0.289208442477998,0.387195205935005,1
"L2_D1_GAOX1_merge_anterior_7-14-actin_1",0.859051301044448,0.736994223025656,0.490569067212578,0.293855202707528,0.153060414820084,0,0.663041180020639,1,0.211748257035918,0.492640973903497,1
"L2_D1_GAOX1_merge_anterior_7-14-actin_2",0.625513387632098,1,0.975959413424256,0.307990010293649,0,0.300906297997986,0.394425868346583,0.197928423879808,0.455579545006819,0.767245007050603,1
"L2_D1_GAOX1_merge_anterior_7-14-actin_3",0.74961791615201,0.902350933508333,1,0.406923836720258,0.0556648931341901,0,0.0789264536500183,0.463294063697899,0.965956312334466,0.584662518936096,1
"L2_D1_GAOX-1_merge_anterior_7-1-actin_0",1,0.753640589441271,0.465726479983187,0.333599377763258,0.214896036053384,0.093605305887991,0,0.145041307562578,0.493062255045667,0.879706882358095,1
"L2_D1_GAOX-1_merge_anterior_7-1-actin_1",0,0.559604685939237,0.972463669328405,1,0.561648746424578,0.269327900457873,0.485805603031504,0.613092758606471,0.605870243253577,0.73783009809639,2
"L2_D1_GAOX-1_merge_anterior_7-1-actin_2",0,0.622066520956582,0.38116433670729,0.139438363522007,0.00148659094963443,0.0158738906768263,0.301372836526724,0.625603398806183,0.754816433815762,1,3
"L2_D1_GAOX-1_merge_anterior_7-1-actin_3",1,0.796896154577806,0.395250788576996,0.189210722577698,0.049610109067581,0,0.0444349108587631,0.246155944168563,0.435717941350407,0.691833210360691,1
"L2_D1_GAOX-1_merge_anterior_7-1-actin_4",0.584201032520415,0.60607204619001,0.471995063404608,0.193805385392181,0.0285276299517258,0,0.0470872648197323,0.268947105125273,0.714898919146321,1,1
"L2_D1_GAOX1_merge_anterior_9-21-actin_0",0,0.180492063014612,0.0987107373619748,0.0723533611332958,0.1378508578885,0.419607751659127,1,0.599846287857908,0.464509622048607,0.0874360581429685,4
"L2_D1_GAOX1_merge_anterior_9-21-actin_1",0.47547629517637,0.607473728209136,0.241796504138691,0.0925301564265079,0,0.265828517680012,1,0.999802764099544,0.157928878018815,0.250219326528488,4
"L2_D1_GAOX1_merge_anterior_9-21-actin_2",0.435519839238826,0.223934427157767,0.199184806458382,0,0.0881934091819218,0.179329996096105,0.600482497435415,1,0.42773973324542,0.619006963779977,3
"L2_D1_GAOX1_merge_anterior_9-21-actin_3",0.410075479137986,0.693848454558838,0.341461524752628,0.212562407824966,0.714228768855794,1,0.407239522932589,0,0.314353778218582,0.690130889624137,4
"L2_D1_GAOX1_merge_anterior_9-21-actin_4",0.115388307712221,0.603857638782771,0.038328296602049,0,0.229401686660782,0.448802420507437,1,0.919174395547302,0.330998639093784,0.305518951113444,4
"L2_D1_GAOX-1_merge_medial_7-12-actin_0",0.157781748329528,0,0.214733200105765,0.632450660605681,0.609285850103034,0.389807103596714,0.538561304303463,1,0.448410902987695,0.7757021981536,2
"L2_D1_GAOX-1_merge_medial_7-12-actin_1",0.655991173441758,0.576751924696487,0.785087658664648,1,0.734841419457217,0.517347020561128,0.279906722451427,0.0696045589074233,0,0.0807324502673035,2
"L2_D1_GAOX-1_merge_medial_7-12-actin_2",0.661346273042007,0.277910378591495,0.184951881314472,0.272797732583159,0.428241462086631,0.747088394327805,1,0.169094003513446,0,0.121504960259708,4
"L2_D1_GAOX-1_merge_medial_7-12-actin_3",1,0.634267913687517,0.380796094273523,0.00624440453481677,0,0.182882685764549,0.442694359966891,0.522621954830982,0.612458264988504,0.891351570695107,1
"L2_D1_GAOX-1_merge_medial_7-12-actin_4",0.435481136381376,0.411072435241035,0.100943245544163,0.00348677269736245,0.322418657046747,0.182472714816918,0.00520857832406422,0,0.555652848284854,1,1
"L2_D1_GAOX1_merge_medial_8-30-2-actin_0",1,0.660582371168469,0.799718261780961,0.465461827115621,0.11848149830885,0,0.157278197260024,0.488407145381248,0.655260115051119,0.656498128556284,1
"L2_D1_GAOX1_merge_medial_8-30-2-actin_1",0.240309654707209,0.0273156793093565,0,0.0692267606979391,0.141510116757427,0.292720972042488,0.536952726704244,0.814512024596358,1,0.855286798275708,3
"L2_D1_GAOX1_merge_medial_8-30-2-actin_2",0.421919496316725,0.197795521793207,0.0117254014642508,0,0.0790992967794371,0.237302559952594,0.442857112838194,0.73529170730204,1,0.9460211267359,3
"L2_D1_GAOX1_merge_medial_8-30-2-actin_3",0.213382722936099,0.0405893743478998,0,0.216639468480704,0.173590422826773,0.153024500117386,0.279980322629552,0.449487499176378,0.630986612863089,1,3
"L2_D1_GAOX1_merge_medial_8-30-2-actin_4",0.103794091203833,0.306640426791906,0.532704712486821,0.784364865572739,1,0.976410946355414,0.79411661015188,0.472114352415049,0.0607467944861436,0,4
"L2_D1_GAOX1_merge_medial_9-21-2-actin_0",0.0467889603402661,0,0.0844604858412345,0.4103367849412,0.614275700343051,1,0.848538552096915,0.367926682869814,0.142615384128511,0.177137792152445,4
"L2_D1_GAOX1_merge_medial_9-21-2-actin_1",0.273433309662058,0.103128785663562,0.056366180709303,0,0.0693867747190777,0.388518735118426,0.58146121391871,0.884978486987761,0.937367893395714,1,3
"L2_D1_GAOX1_merge_medial_9-21-2-actin_2",0.542849583611556,0.686051932017185,0.762947097879631,0.581263149937636,0.357680823453819,0.105469114182405,0,0.295312007861616,0.931925213863657,1,1
